signal_date,execution_date,symbol,reason,top_k,detail,spy_above_ma,vs,challenger_score,incumbent_score,needed,replaced,cash,weight
2005-11-30,2005-12-01,,regime_topk,0.0,all_risk_below_ma,True,,,,,,,
2005-12-30,2006-01-03,SPY,score_missing,,,,,,,,,,
2005-12-30,2006-01-03,QQQ,score_missing,,,,,,,,,,
2005-12-30,2006-01-03,IWM,score_missing,,,,,,,,,,
2005-12-30,2006-01-03,GLD,score_missing,,,,,,,,,,
2005-12-30,2006-01-03,,regime_topk,0.0,all_risk_below_ma,True,,,,,,,
2006-01-31,2006-02-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2006-02-28,2006-03-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2006-02-28,2006-03-01,SPY,hysteresis_block,,,,IWM,10.170473771620168,15.026842817445536,15.778184958317812,,,
2006-03-31,2006-04-03,,regime_topk,2.0,fixed_topk,True,,,,,,,
2006-03-31,2006-04-03,SPY,hysteresis_block,,,,GLD,17.909624257961813,21.51411057986636,22.58981610885968,,,
2006-04-28,2006-05-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2006-04-28,2006-05-01,SPY,hysteresis_block,,,,IWM,17.741844655803177,22.923621429117492,24.069802500573367,,,
2006-05-31,2006-06-01,QQQ,below_ma,,,,,,,,,,
2006-05-31,2006-06-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2006-05-31,2006-06-01,SPY,hysteresis_block,,,,IWM,7.467344710495868,10.689119158374137,11.223575116292844,,,
2006-06-30,2006-07-03,QQQ,below_ma,,,,,,,,,,
2006-06-30,2006-07-03,,regime_topk,2.0,fixed_topk,True,,,,,,,
2006-06-30,2006-07-03,SPY,hysteresis_replace,,,,,4.627063980109157,3.6190585479866275,3.800011475385959,IWM,,
2006-07-31,2006-08-01,QQQ,below_ma,,,,,,,,,,
2006-07-31,2006-08-01,IWM,below_ma,,,,,,,,,,
2006-07-31,2006-08-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2006-08-31,2006-09-01,QQQ,below_ma,,,,,,,,,,
2006-08-31,2006-09-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2006-08-31,2006-09-01,IWM,hysteresis_block,,,,SPY,0.2660030997991319,5.486968086306312,5.7613164906216285,,,
2006-09-29,2006-10-02,GLD,below_ma,,,,,,,,,,
2006-09-29,2006-10-02,,regime_topk,2.0,fixed_topk,True,,,,,,,
2006-09-29,2006-10-02,GLD,incumbent_ineligible,,,,,,,,,,
2006-09-29,2006-10-02,IWM,fill_vacancy,,,,,,,,,,
2006-09-29,2006-10-02,QQQ,hysteresis_block,,,,IWM,-0.2542028743943963,0.6650181050535826,0.6982690103062618,,,
2006-10-31,2006-11-01,GLD,below_ma,,,,,,,,,,
2006-10-31,2006-11-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2006-10-31,2006-11-01,QQQ,hysteresis_block,,,,IWM,10.980233277054852,12.63070246311582,13.262237586271612,,,
2006-11-30,2006-12-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2006-11-30,2006-12-01,QQQ,hysteresis_block,,,,IWM,13.309850813441983,13.08236509095162,13.736483345499202,,,
2006-12-29,2007-01-03,,regime_topk,2.0,fixed_topk,True,,,,,,,
2006-12-29,2007-01-03,QQQ,hysteresis_block,,,,IWM,16.920308284122825,17.55754618573897,18.43542349502592,,,
2007-01-31,2007-02-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2007-01-31,2007-02-01,QQQ,hysteresis_block,,,,IWM,12.561164053753737,13.456473013950385,14.129296664647905,,,
2007-02-28,2007-03-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2007-02-28,2007-03-01,GLD,hysteresis_replace,,,,,12.295236587073102,10.315270469466236,10.831033992939549,IWM,,
2007-02-28,2007-03-01,QQQ,hysteresis_block,,,,GLD,6.7366188948133345,12.295236587073102,12.909998416426758,,,
2007-03-30,2007-04-02,,regime_topk,2.0,fixed_topk,True,,,,,,,
2007-03-30,2007-04-02,IWM,hysteresis_block,,,,SPY,4.614089309661829,8.521211720039236,8.9472723060412,,,
2007-04-30,2007-05-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2007-04-30,2007-05-01,QQQ,hysteresis_replace,,,,,7.103252193822485,3.278606968457368,3.4425373168802365,GLD,,
2007-04-30,2007-05-01,IWM,hysteresis_block,,,,QQQ,4.7963995280355896,7.103252193822485,7.458414803513609,,,
2007-05-31,2007-06-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2007-05-31,2007-06-01,IWM,hysteresis_block,,,,QQQ,14.744458436167436,19.50405307476519,20.47925572850345,,,
2007-06-29,2007-07-02,,regime_topk,2.0,fixed_topk,True,,,,,,,
2007-06-29,2007-07-02,IWM,hysteresis_block,,,,SPY,10.59543582034097,16.9527740532772,17.80041275594106,,,
2007-07-31,2007-08-01,IWM,below_ma,,,,,,,,,,
2007-07-31,2007-08-01,VEA,below_ma,,,,,,,,,,
2007-07-31,2007-08-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2007-07-31,2007-08-01,GLD,hysteresis_block,,,,SPY,1.2775594492251858,10.171100635466457,10.67965566723978,,,
2007-08-31,2007-09-04,IWM,below_ma,,,,,,,,,,
2007-08-31,2007-09-04,VEA,below_ma,,,,,,,,,,
2007-08-31,2007-09-04,,regime_topk,2.0,fixed_topk,True,,,,,,,
2007-08-31,2007-09-04,GLD,hysteresis_block,,,,SPY,4.221265162360816,7.4031086428446935,7.773264074986929,,,
2007-09-28,2007-10-01,VEA,below_ma,,,,,,,,,,
2007-09-28,2007-10-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2007-09-28,2007-10-01,GLD,hysteresis_replace,,,,,17.980640291515158,7.4278178536863075,7.799208746370623,SPY,,
2007-09-28,2007-10-01,IWM,hysteresis_block,,,,QQQ,3.110347594533047,15.097366071547258,15.852234375124622,,,
2007-10-31,2007-11-01,VEA,below_ma,,,,,,,,,,
2007-10-31,2007-11-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2007-10-31,2007-11-01,SPY,hysteresis_block,,,,QQQ,6.444385972360767,17.488773937537964,18.363212634414865,,,
2007-11-30,2007-12-03,IWM,below_ma,,,,,,,,,,
2007-11-30,2007-12-03,VEA,below_ma,,,,,,,,,,
2007-11-30,2007-12-03,,regime_topk,2.0,fixed_topk,True,,,,,,,
2007-11-30,2007-12-03,SPY,hysteresis_block,,,,QQQ,2.1897129124729267,7.773568859454571,8.1622473024273,,,
2007-12-31,2008-01-02,SPY,below_ma,,,,,,,,,,
2007-12-31,2008-01-02,IWM,below_ma,,,,,,,,,,
2007-12-31,2008-01-02,VEA,below_ma,,,,,,,,,,
2007-12-31,2008-01-02,,regime_topk,2.0,fixed_topk,False,,,,,,,
2008-01-31,2008-02-01,SPY,below_ma,,,,,,,,,,
2008-01-31,2008-02-01,QQQ,below_ma,,,,,,,,,,
2008-01-31,2008-02-01,IWM,below_ma,,,,,,,,,,
2008-01-31,2008-02-01,VEA,below_ma,,,,,,,,,,
2008-01-31,2008-02-01,,regime_topk,2.0,fixed_topk,False,,,,,,,
2008-01-31,2008-02-01,QQQ,incumbent_ineligible,,,,,,,,,,
2008-01-31,2008-02-01,,cash_fill,,,,,,,,,BIL,0.5
2008-02-29,2008-03-03,SPY,below_ma,,,,,,,,,,
2008-02-29,2008-03-03,QQQ,below_ma,,,,,,,,,,
2008-02-29,2008-03-03,IWM,below_ma,,,,,,,,,,
2008-02-29,2008-03-03,VEA,below_ma,,,,,,,,,,
2008-02-29,2008-03-03,,regime_topk,2.0,fixed_topk,False,,,,,,,
2008-02-29,2008-03-03,,cash_fill,,,,,,,,,BIL,0.5
2008-03-31,2008-04-01,SPY,below_ma,,,,,,,,,,
2008-03-31,2008-04-01,QQQ,below_ma,,,,,,,,,,
2008-03-31,2008-04-01,IWM,below_ma,,,,,,,,,,
2008-03-31,2008-04-01,VEA,below_ma,,,,,,,,,,
2008-03-31,2008-04-01,,regime_topk,2.0,fixed_topk,False,,,,,,,
2008-03-31,2008-04-01,,cash_fill,,,,,,,,,BIL,0.5
2008-04-30,2008-05-01,SPY,below_ma,,,,,,,,,,
2008-04-30,2008-05-01,QQQ,below_ma,,,,,,,,,,
2008-04-30,2008-05-01,IWM,below_ma,,,,,,,,,,
2008-04-30,2008-05-01,VEA,below_ma,,,,,,,,,,
2008-04-30,2008-05-01,,regime_topk,2.0,fixed_topk,False,,,,,,,
2008-04-30,2008-05-01,,cash_fill,,,,,,,,,BIL,0.5
2008-05-30,2008-06-02,SPY,below_ma,,,,,,,,,,
2008-05-30,2008-06-02,VEA,score_missing,,,,,,,,,,
2008-05-30,2008-06-02,,regime_topk,2.0,fixed_topk,False,,,,,,,
2008-05-30,2008-06-02,QQQ,fill_vacancy,,,,,,,,,,
2008-05-30,2008-06-02,IWM,hysteresis_block,,,,QQQ,-3.099371473218387,0.578314571368927,0.6072302999373734,,,
2008-06-30,2008-07-01,SPY,below_ma,,,,,,,,,,
2008-06-30,2008-07-01,QQQ,below_ma,,,,,,,,,,
2008-06-30,2008-07-01,IWM,below_ma,,,,,,,,,,
2008-06-30,2008-07-01,VEA,below_ma,,,,,,,,,,
2008-06-30,2008-07-01,,regime_topk,2.0,fixed_topk,False,,,,,,,
2008-06-30,2008-07-01,QQQ,incumbent_ineligible,,,,,,,,,,
2008-06-30,2008-07-01,,cash_fill,,,,,,,,,BIL,0.5
2008-07-31,2008-08-01,SPY,below_ma,,,,,,,,,,
2008-07-31,2008-08-01,QQQ,below_ma,,,,,,,,,,
2008-07-31,2008-08-01,IWM,below_ma,,,,,,,,,,
2008-07-31,2008-08-01,VEA,below_ma,,,,,,,,,,
2008-07-31,2008-08-01,,regime_topk,2.0,fixed_topk,False,,,,,,,
2008-07-31,2008-08-01,,cash_fill,,,,,,,,,BIL,0.5
2008-08-29,2008-09-02,SPY,below_ma,,,,,,,,,,
2008-08-29,2008-09-02,QQQ,below_ma,,,,,,,,,,
2008-08-29,2008-09-02,VEA,below_ma,,,,,,,,,,
2008-08-29,2008-09-02,GLD,below_ma,,,,,,,,,,
2008-08-29,2008-09-02,,regime_topk,2.0,fixed_topk,False,,,,,,,
2008-08-29,2008-09-02,GLD,incumbent_ineligible,,,,,,,,,,
2008-08-29,2008-09-02,IWM,fill_vacancy,,,,,,,,,,
2008-08-29,2008-09-02,,cash_fill,,,,,,,,,BIL,0.5
2008-09-30,2008-10-01,SPY,below_ma,,,,,,,,,,
2008-09-30,2008-10-01,QQQ,below_ma,,,,,,,,,,
2008-09-30,2008-10-01,IWM,below_ma,,,,,,,,,,
2008-09-30,2008-10-01,VEA,below_ma,,,,,,,,,,
2008-09-30,2008-10-01,GLD,below_ma,,,,,,,,,,
2008-09-30,2008-10-01,,regime_topk,0.0,all_risk_below_ma,False,,,,,,,
2008-10-31,2008-11-03,SPY,below_ma,,,,,,,,,,
2008-10-31,2008-11-03,QQQ,below_ma,,,,,,,,,,
2008-10-31,2008-11-03,IWM,below_ma,,,,,,,,,,
2008-10-31,2008-11-03,VEA,below_ma,,,,,,,,,,
2008-10-31,2008-11-03,GLD,below_ma,,,,,,,,,,
2008-10-31,2008-11-03,,regime_topk,0.0,all_risk_below_ma,False,,,,,,,
2008-11-28,2008-12-01,SPY,below_ma,,,,,,,,,,
2008-11-28,2008-12-01,QQQ,below_ma,,,,,,,,,,
2008-11-28,2008-12-01,IWM,below_ma,,,,,,,,,,
2008-11-28,2008-12-01,VEA,below_ma,,,,,,,,,,
2008-11-28,2008-12-01,GLD,below_ma,,,,,,,,,,
2008-11-28,2008-12-01,,regime_topk,0.0,all_risk_below_ma,False,,,,,,,
2008-12-31,2009-01-02,SPY,below_ma,,,,,,,,,,
2008-12-31,2009-01-02,QQQ,below_ma,,,,,,,,,,
2008-12-31,2009-01-02,IWM,below_ma,,,,,,,,,,
2008-12-31,2009-01-02,VEA,below_ma,,,,,,,,,,
2008-12-31,2009-01-02,,regime_topk,2.0,fixed_topk,False,,,,,,,
2008-12-31,2009-01-02,,cash_fill,,,,,,,,,BIL,0.5
2009-01-30,2009-02-02,SPY,below_ma,,,,,,,,,,
2009-01-30,2009-02-02,QQQ,below_ma,,,,,,,,,,
2009-01-30,2009-02-02,IWM,below_ma,,,,,,,,,,
2009-01-30,2009-02-02,VEA,below_ma,,,,,,,,,,
2009-01-30,2009-02-02,,regime_topk,2.0,fixed_topk,False,,,,,,,
2009-01-30,2009-02-02,,cash_fill,,,,,,,,,BIL,0.5
2009-02-27,2009-03-02,SPY,below_ma,,,,,,,,,,
2009-02-27,2009-03-02,QQQ,below_ma,,,,,,,,,,
2009-02-27,2009-03-02,IWM,below_ma,,,,,,,,,,
2009-02-27,2009-03-02,VEA,below_ma,,,,,,,,,,
2009-02-27,2009-03-02,,regime_topk,2.0,fixed_topk,False,,,,,,,
2009-02-27,2009-03-02,,cash_fill,,,,,,,,,BIL,0.5
2009-03-31,2009-04-01,SPY,below_ma,,,,,,,,,,
2009-03-31,2009-04-01,QQQ,below_ma,,,,,,,,,,
2009-03-31,2009-04-01,IWM,below_ma,,,,,,,,,,
2009-03-31,2009-04-01,VEA,below_ma,,,,,,,,,,
2009-03-31,2009-04-01,,regime_topk,2.0,fixed_topk,False,,,,,,,
2009-03-31,2009-04-01,,cash_fill,,,,,,,,,BIL,0.5
2009-04-30,2009-05-01,SPY,below_ma,,,,,,,,,,
2009-04-30,2009-05-01,IWM,below_ma,,,,,,,,,,
2009-04-30,2009-05-01,VEA,below_ma,,,,,,,,,,
2009-04-30,2009-05-01,,regime_topk,2.0,fixed_topk,False,,,,,,,
2009-04-30,2009-05-01,QQQ,fill_vacancy,,,,,,,,,,
2009-05-29,2009-06-01,SPY,below_ma,,,,,,,,,,
2009-05-29,2009-06-01,IWM,below_ma,,,,,,,,,,
2009-05-29,2009-06-01,,regime_topk,2.0,fixed_topk,False,,,,,,,
2009-05-29,2009-06-01,VEA,hysteresis_block,,,,QQQ,-4.429246304677693,-0.03843750009366176,0.011562499906338244,,,
2009-06-30,2009-07-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2009-06-30,2009-07-01,VEA,hysteresis_replace,,,,,0.0992888003082215,-0.15880997798854288,-0.10880997798854287,GLD,,
2009-06-30,2009-07-01,IWM,hysteresis_block,,,,VEA,-0.35507212134778665,0.0992888003082215,0.10425324032363258,,,
2009-07-31,2009-08-03,,regime_topk,2.0,fixed_topk,True,,,,,,,
2009-07-31,2009-08-03,SPY,hysteresis_block,,,,VEA,9.625423959516615,11.944754407024247,12.54199212737546,,,
2009-08-31,2009-09-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2009-08-31,2009-09-01,GLD,hysteresis_block,,,,QQQ,9.190153646024429,11.725430756160275,12.31170229396829,,,
2009-09-30,2009-10-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2009-09-30,2009-10-01,GLD,hysteresis_block,,,,VEA,16.152922876478875,16.13275344142226,16.939391113493375,,,
2009-10-30,2009-11-02,,regime_topk,2.0,fixed_topk,True,,,,,,,
2009-10-30,2009-11-02,GLD,hysteresis_replace,,,,,22.476200714768073,12.876180431735197,13.519989453321957,VEA,,
2009-10-30,2009-11-02,SPY,hysteresis_block,,,,QQQ,10.418464007482164,17.482219737712096,18.3563307245977,,,
2009-11-30,2009-12-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2009-11-30,2009-12-01,SPY,hysteresis_block,,,,QQQ,20.559965741957246,29.55457506404176,31.03230381724385,,,
2009-12-31,2010-01-04,,regime_topk,2.0,fixed_topk,True,,,,,,,
2009-12-31,2010-01-04,SPY,hysteresis_replace,,,,,19.58742513167407,14.835216595688705,15.57697742547314,GLD,,
2009-12-31,2010-01-04,IWM,hysteresis_block,,,,SPY,13.766424365762695,19.58742513167407,20.566796388257774,,,
2010-01-29,2010-02-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2010-01-29,2010-02-01,IWM,hysteresis_block,,,,SPY,13.83380723886539,18.299718436013805,19.214704357814497,,,
2010-02-26,2010-03-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2010-02-26,2010-03-01,IWM,hysteresis_block,,,,SPY,23.976071093265148,26.123730410675922,27.429916931209718,,,
2010-03-31,2010-04-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2010-03-31,2010-04-01,IWM,hysteresis_replace,,,,,34.694088445191994,32.11033896582479,33.71585591411603,SPY,,
2010-03-31,2010-04-01,VEA,hysteresis_block,,,,QQQ,20.198672583519073,34.4686433774901,36.19207554636461,,,
2010-04-30,2010-05-03,,regime_topk,2.0,fixed_topk,True,,,,,,,
2010-04-30,2010-05-03,SPY,hysteresis_block,,,,IWM,24.875762455363976,30.4189316170785,31.939878197932426,,,
2010-05-28,2010-06-01,VEA,below_ma,,,,,,,,,,
2010-05-28,2010-06-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2010-05-28,2010-06-01,GLD,hysteresis_replace,,,,,15.533189457723902,8.08861988683922,8.493050881181182,QQQ,,
2010-05-28,2010-06-01,SPY,hysteresis_block,,,,IWM,5.546723056894749,9.646493482720267,10.12881815685628,,,
2010-06-30,2010-07-01,SPY,below_ma,,,,,,,,,,
2010-06-30,2010-07-01,QQQ,below_ma,,,,,,,,,,
2010-06-30,2010-07-01,IWM,below_ma,,,,,,,,,,
2010-06-30,2010-07-01,VEA,below_ma,,,,,,,,,,
2010-06-30,2010-07-01,,regime_topk,2.0,fixed_topk,False,,,,,,,
2010-06-30,2010-07-01,IWM,incumbent_ineligible,,,,,,,,,,
2010-06-30,2010-07-01,,cash_fill,,,,,,,,,BIL,0.5
2010-07-30,2010-08-02,,regime_topk,2.0,fixed_topk,True,,,,,,,
2010-07-30,2010-08-02,QQQ,fill_vacancy,,,,,,,,,,
2010-07-30,2010-08-02,IWM,hysteresis_block,,,,QQQ,4.373242790988189,4.8398169755328695,5.0818078243095135,,,
2010-08-31,2010-09-01,SPY,below_ma,,,,,,,,,,
2010-08-31,2010-09-01,QQQ,below_ma,,,,,,,,,,
2010-08-31,2010-09-01,IWM,below_ma,,,,,,,,,,
2010-08-31,2010-09-01,VEA,below_ma,,,,,,,,,,
2010-08-31,2010-09-01,,regime_topk,2.0,fixed_topk,False,,,,,,,
2010-08-31,2010-09-01,QQQ,incumbent_ineligible,,,,,,,,,,
2010-08-31,2010-09-01,,cash_fill,,,,,,,,,BIL,0.5
2010-09-30,2010-10-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2010-09-30,2010-10-01,QQQ,fill_vacancy,,,,,,,,,,
2010-09-30,2010-10-01,SPY,hysteresis_block,,,,QQQ,2.109190360723002,6.228819856070228,6.540260848873739,,,
2010-10-29,2010-11-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2010-10-29,2010-11-01,SPY,hysteresis_block,,,,QQQ,13.05855569003772,19.73298251656245,20.719631642390574,,,
2010-11-30,2010-12-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2010-11-30,2010-12-01,IWM,hysteresis_replace,,,,,18.7675962062041,12.682096706736573,13.316201542073403,GLD,,
2010-11-30,2010-12-01,SPY,hysteresis_block,,,,IWM,16.55324557410721,18.7675962062041,19.705976016514306,,,
2010-12-31,2011-01-03,,regime_topk,2.0,fixed_topk,True,,,,,,,
2010-12-31,2011-01-03,SPY,hysteresis_block,,,,IWM,21.697632256286326,24.742128633712323,25.97923506539794,,,
2011-01-31,2011-02-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2011-01-31,2011-02-01,SPY,hysteresis_replace,,,,,31.150785162426406,29.271291059752294,30.73485561273991,IWM,,
2011-01-31,2011-02-01,VEA,hysteresis_block,,,,SPY,16.73825893658165,31.150785162426406,32.708324420547726,,,
2011-02-28,2011-03-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2011-02-28,2011-03-01,IWM,hysteresis_block,,,,QQQ,26.804212181201116,29.578303968923,31.05721916736915,,,
2011-03-31,2011-04-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2011-03-31,2011-04-01,IWM,hysteresis_replace,,,,,19.217132267160192,14.251291036664893,14.96385558849814,QQQ,,
2011-03-31,2011-04-01,GLD,hysteresis_block,,,,SPY,17.75808082675905,16.962632862937774,17.810764506084663,,,
2011-04-29,2011-05-02,,regime_topk,2.0,fixed_topk,True,,,,,,,
2011-04-29,2011-05-02,GLD,hysteresis_replace,,,,,27.28865490999891,18.962910685265996,19.911056219529296,IWM,,
2011-04-29,2011-05-02,QQQ,hysteresis_block,,,,SPY,17.75009271344466,20.982196030543083,22.031305832070238,,,
2011-05-31,2011-06-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2011-05-31,2011-06-01,QQQ,hysteresis_block,,,,GLD,18.11499280288578,17.40969369064498,18.28017837517723,,,
2011-06-30,2011-07-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2011-06-30,2011-07-01,IWM,hysteresis_block,,,,SPY,15.94038412983452,17.745557906731488,18.632835802068062,,,
2011-07-29,2011-08-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2011-07-29,2011-08-01,QQQ,hysteresis_replace,,,,,10.42982317538136,7.2622021320426295,7.625312238644761,SPY,,
2011-07-29,2011-08-01,IWM,hysteresis_block,,,,QQQ,6.369147041090955,10.42982317538136,10.951314334150428,,,
2011-08-31,2011-09-01,SPY,below_ma,,,,,,,,,,
2011-08-31,2011-09-01,QQQ,below_ma,,,,,,,,,,
2011-08-31,2011-09-01,IWM,below_ma,,,,,,,,,,
2011-08-31,2011-09-01,VEA,below_ma,,,,,,,,,,
2011-08-31,2011-09-01,,regime_topk,2.0,fixed_topk,False,,,,,,,
2011-08-31,2011-09-01,QQQ,incumbent_ineligible,,,,,,,,,,
2011-08-31,2011-09-01,,cash_fill,,,,,,,,,BIL,0.5
2011-09-30,2011-10-03,SPY,below_ma,,,,,,,,,,
2011-09-30,2011-10-03,QQQ,below_ma,,,,,,,,,,
2011-09-30,2011-10-03,IWM,below_ma,,,,,,,,,,
2011-09-30,2011-10-03,VEA,below_ma,,,,,,,,,,
2011-09-30,2011-10-03,,regime_topk,2.0,fixed_topk,False,,,,,,,
2011-09-30,2011-10-03,,cash_fill,,,,,,,,,BIL,0.5
2011-10-31,2011-11-01,SPY,below_ma,,,,,,,,,,
2011-10-31,2011-11-01,IWM,below_ma,,,,,,,,,,
2011-10-31,2011-11-01,VEA,below_ma,,,,,,,,,,
2011-10-31,2011-11-01,,regime_topk,2.0,fixed_topk,False,,,,,,,
2011-10-31,2011-11-01,QQQ,fill_vacancy,,,,,,,,,,
2011-11-30,2011-12-01,SPY,below_ma,,,,,,,,,,
2011-11-30,2011-12-01,QQQ,below_ma,,,,,,,,,,
2011-11-30,2011-12-01,IWM,below_ma,,,,,,,,,,
2011-11-30,2011-12-01,VEA,below_ma,,,,,,,,,,
2011-11-30,2011-12-01,,regime_topk,2.0,fixed_topk,False,,,,,,,
2011-11-30,2011-12-01,QQQ,incumbent_ineligible,,,,,,,,,,
2011-11-30,2011-12-01,,cash_fill,,,,,,,,,BIL,0.5
2011-12-30,2012-01-03,SPY,below_ma,,,,,,,,,,
2011-12-30,2012-01-03,QQQ,below_ma,,,,,,,,,,
2011-12-30,2012-01-03,IWM,below_ma,,,,,,,,,,
2011-12-30,2012-01-03,VEA,below_ma,,,,,,,,,,
2011-12-30,2012-01-03,GLD,below_ma,,,,,,,,,,
2011-12-30,2012-01-03,,regime_topk,0.0,all_risk_below_ma,False,,,,,,,
2012-01-31,2012-02-01,VEA,below_ma,,,,,,,,,,
2012-01-31,2012-02-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2012-02-29,2012-03-01,,regime_topk,2.0,fixed_topk,True,,,,,,,
2012-02-29,2012-03-01,SPY,hysteresis_replace,,,,,18.49686488777885,7.311505942688082,7.677081239822487,GLD,,
